# time scale_factor entropy
26.280000 17014762072480646.000000 34203134802575320.000000
26.300000 17511984931366060.000000 33308394719653536.000000
26.320000 18032923789170196.000000 32380346242012088.000000
26.340000 18574996307842748.000000 31419917418128628.000000
26.360000 19135702085632160.000000 30428068676827056.000000
26.380000 19712620003989408.000000 29405791866848644.000000
26.400000 20303405752863464.000000 28354109265003380.000000
26.420000 20905789523979408.000000 27274072553893124.000000
26.440000 21517573862166396.000000 26166761770228960.000000
26.460000 22136631665256484.000000 25033284224794576.000000
26.480000 22760904323508320.000000 23874773395135408.000000
26.500000 23388399989922304.000000 22692387792081092.000000
26.520000 24017191973207732.000000 21487309801234696.000000
26.540000 24645417245538256.000000 20260744500587064.000000
26.560000 25271275057590632.000000 19013918455438848.000000
26.580000 25893025653704432.000000 17748078491835194.000000
26.600000 26508989080327596.000000 16464490449739702.000000
26.620000 27117544081225348.000000 15164437917194472.000000
26.640000 27717127073229040.000000 13849220946732050.000000
26.660000 28306231196587312.000000 12520154755322890.000000
26.680000 28883405434255416.000000 11178568409158410.000000
26.700000 29447253794720364.000000 9825803494584774.000000
26.720000 29996434553210136.000000 8463212776516548.000000
26.740000 30529659546375264.000000 7092158845671807.000000
26.760000 31045693515761152.000000 5714012755981397.000000
26.780000 31543353495610060.000000 4330152653535004.000000
26.800000 32021508240743200.000000 2941962398435076.500000
26.820000 32479077690476448.000000 1550830180936713.000000
26.840000 32915032464718028.000000 158147133257413.062500
26.860000 33328393388583756.000000 1234694061555144.250000
26.880000 33718231042045324.000000 2626300562306146.000000
26.900000 34083665331300048.000000 4015280762494842.000000
26.920000 34423865078716916.000000 5400245681921043.000000
26.940000 34738047628373836.000000 6779810355665322.000000
26.960000 35025478464355216.000000 8152595219053938.000000
26.980000 35285470839127428.000000 9517227487223498.000000
27.000000 35517385409452944.000000 10872342527905836.000000
27.020000 35720629877441816.000000 12216585226060268.000000
27.040000 35894658634472416.000000 13548611338988638.000000
27.060000 36038972405841752.000000 14867088840578020.000000
27.080000 36153117894129800.000000 16170699253326822.000000
27.100000 36236687419382032.000000 17458138966822302.000000
27.120000 36289318554330288.000000 18728120541350960.000000
27.140000 36310693752983856.000000 19979373995338264.000000
27.160000 36300539971031088.000000 21210648075330228.000000
27.180000 36258628276596616.000000 22420711507246864.000000
27.200000 36184773450000400.000000 23608354227656252.000000
27.220000 36078833571263296.000000 24772388593837984.000000
27.240000 35940709594198584.000000 25911650571425880.000000
27.260000 35770344906021148.000000 27025000898442352.000000
27.280000 35567724871495092.000000 28111326224560372.000000
27.300000 35332876360727072.000000 29169540224453840.000000
27.320000 35065867259796380.000000 30198584684122856.000000
27.340000 34766805963494044.000000 31197430559107744.000000
27.360000 34435840849521956.000000 32165079003533528.000000
27.380000 34073159733579400.000000 33100562368955772.000000
27.400000 33678989304838368.000000 34002945172009068.000000
27.420000 33253594541380848.000000 34871325029890344.000000
27.440000 32797278105240880.000000 35704833562741740.000000
27.460000 32310379716761656.000000 36502637262030384.000000
27.480000 31793275508043352.000000 37263938324057016.000000
27.500000 31246377355320808.000000 37987975447759568.000000
27.520000 30670132190171556.000000 38674024596014384.000000
27.540000 30065021289514308.000000 39321399719673168.000000
27.560000 29431559544415620.000000 39929453443612288.000000
27.580000 28770294707778180.000000 40497577714107792.000000
27.600000 28081806621038348.000000 41025204406889184.000000
27.620000 27366706420052592.000000 41511805895263696.000000
27.640000 26625635720403144.000000 41956895577742944.000000
27.660000 25859265782401832.000000 42360028364644432.000000
27.680000 25068296656118236.000000 42720801123181288.000000
27.700000 24253456306803632.000000 43038853080594968.000000
27.720000 23415499721126072.000000 43313866184928048.000000
27.740000 22555207994674052.000000 43545565423076200.000000
